"","...1","tournament","year","participants","event","event_name","division"
"137","fgrvzinf","novice",2020,22,"PF","Cohort 1 Novice Public Forum","N"
"138","lhinqxqd","novice",2020,22,"PF","Cohort 2 Novice Public Forum","N"
"139","xvflnxmu","novice",2020,19,"PF","Cohort 3 Novice Public Forum","N"
"140","fntrnojf","novice",2020,20,"PF","Cohort 4 Novice Public Forum","N"
"141","ylmvwlkd","harrisburg",2020,9,"LD","Novice LD","N"
"142","vtbnbbay","harrisburg",2020,22,"LD","Varsity LD","V"
"143","pscjyjft","harrisburg",2020,24,"PF","Novice PF","N"
"144","lgxsjugy","harrisburg",2020,37,"PF","Varsity PF","V"
"145","xstklukq","cfc",2020,5,"LD","Novice Lincoln-Douglas","N"
"146","hppmrmja","cfc",2020,6,"LD","Varsity Lincoln-Douglas","V"
"147","rsqhvyrw","cfc",2020,21,"PF","Novice Public Forum","N"
"148","pxhpmwev","cfc",2020,20,"PF","Varsity Public Forum","V"
"149","qxnwpvit","yankton",2020,19,"LD","Novice LD","N"
"150","vyukpsft","yankton",2020,23,"LD","Varsity LD","V"
"151","nwwasiud","yankton",2020,16,"PF","Novice Public Forum","N"
"152","xdeanbdq","yankton",2020,27,"PF","Varsity Public Forum","V"
"153","tjqxueua","silver",2020,7,"LD","Novice LD","N"
"154","uwoycclt","silver",2020,24,"LD","Varsity LD","V"
"155","dhgqtcwd","silver",2020,11,"PF","JV Public Forum","JV"
"156","kjuthalj","silver",2020,18,"PF","Novice Public Forum","N"
"157","lpprsaoy","silver",2020,27,"PF","Varsity Public Forum","V"
"158","lcoqidlz","bell",2019,11,"LD","Novice LD","N"
"159","pnodbgsr","bell",2019,11,"LD","Varsity LD","V"
"160","gdmjzmrv","bell",2019,7,"PF","JV Public Forum","JV"
"161","rwnlpksm","bell",2019,17,"PF","Novice Public Forum","N"
"162","udzcghmf","bell",2019,15,"PF","Varsity Public Forum","V"
"163","cwrrbtxo","cfc",2019,3,"LD","Novice Lincoln-Douglas","N"
"164","tzkkkihk","cfc",2019,3,"LD","Varsity Lincoln-Douglas","V"
"165","qvjkbvrk","cfc",2019,17,"PF","Novice Public Forum","N"
"166","dpatwkni","cfc",2019,12,"PF","Varsity Public Forum","V"
"167","ibdghyrb","novice",2019,27,"PF","Public Forum","N"
"168","blsolfww","novice",2019,28,"PF","Public Forum","N"
"169","ytoovsjq","mcgov",2019,16,"LD","Novice Lincoln-Douglas","N"
"170","ftzvakbu","mcgov",2019,13,"LD","Varsity Lincoln-Douglas","V"
"171","vntqiukt","mcgov",2019,16,"PF","Junior Varsity Public Forum","JV"
"172","jtlkxsvb","mcgov",2019,27,"PF","Novice Public Forum","N"
"173","jrrvvwob","mcgov",2019,18,"PF","Varsity Public Forum","V"
"174","eotrgkul","sweet",2019,20,"LD","Novice Lincoln Douglas","N"
"175","zuwfuolk","sweet",2019,16,"LD","Varsity Lincoln Douglas","V"
"176","qnpuqsok","sweet",2019,42,"PF","Novice Public Forum","N"
"177","nzkiuwlo","sweet",2019,45,"PF","Varsity Public Forum","V"
"178","bojgcuor","novice",2019,5,"LD","Novice LD","N"
"179","wdpthbvu","novice",2019,60,"PF","Novice Public Forum","N"
"180","zdwmhkou","novice",2019,7,"LD","Lincoln-Douglas","N"
"181","tqegctno","novice",2019,65,"PF","Public Forum","N"
"182","vnyloqzm","TD PF",2019,9,"PF","Public Forum",NA
"183","kcznodnb","rushmore",2019,13,"LD","Lincoln Douglas","V"
"184","bfiigeux","rushmore",2019,31,"PF","Public Forum","V"
"185","uqavrfdw","harrisburg",2019,9,"LD","Novice LD","N"
"186","rqingngn","harrisburg",2019,22,"LD","Varsity LD","V"
"187","kmlkpbev","harrisburg",2019,20,"PF","Novice PF","N"
"188","wxqpastz","harrisburg",2019,37,"PF","Varsity PF","V"
"189","ypkypkkl","cfc",2019,6,"LD","Novice Lincoln-Douglas","N"
"190","rxdctoml","cfc",2019,9,"LD","Varsity Lincoln-Douglas","V"
"191","bfxcrzsa","cfc",2019,12,"PF","Novice Public Forum","N"
"192","vxanhvuw","cfc",2019,19,"PF","Varsity Public Forum","V"
"193","wcdqxprd","yankton",2019,6,"LD","Novice LD","N"
"194","xkeaiqbc","yankton",2019,17,"LD","Varsity LD","V"
"195","addeniui","yankton",2019,16,"PF","Novice Public Forum","N"
"196","wvzzfzyt","yankton",2019,28,"PF","Varsity Public Forum","V"
"197","gadelcru","silver",2019,8,"LD","Novice LD","N"
"198","dwekcsnf","silver",2019,20,"LD","Varsity LD","V"
"199","xhoaxywm","silver",2019,14,"PF","JV Public Forum","JV"
"200","pewaqisg","silver",2019,23,"PF","Novice Public Forum","N"
"201","drfkzyft","silver",2019,27,"PF","Varsity Public Forum","V"
"202","bnpcowtz","cfc",2019,13,"LD","Varsity Lincoln-Douglas","V"
"203","ggjmbdir","cfc",2019,13,"PF","Novice Public Forum","N"
"204","mgzhqdzt","cfc",2019,16,"PF","Varsity Public Forum","V"
"205","fipbnymz","bell",2018,6,"LD","Novice LD","N"
"206","hoisjgau","bell",2018,12,"LD","Varsity LD","V"
"207","lxxganhf","bell",2018,6,"PF","JV Public Forum","JV"
"208","fgmmjfsk","bell",2018,24,"PF","Novice Public Forum","N"
"209","bppohumu","bell",2018,26,"PF","Varsity Public Forum","V"
"210","cmoiyqrn","novice",2018,14,"PF","Public Forum","N"
"211","itbiddqa","novice",2018,4,"LD","LD","N"
"212","hgltnafj","novice",2018,35,"PF","PF","N"
"213","xswkvxfd","mcgov",2018,5,"LD","Novice Lincoln-Douglas","N"
