,tournament,year,participants,event,event_name
fxhettfs,GOLDEN EAGLE CUP ABERDEEN CENTRAL,"2021 — Aberdeen, SD/US",8,LD,JV Lincoln Douglas
rcptivsv,GOLDEN EAGLE CUP ABERDEEN CENTRAL,"2021 — Aberdeen, SD/US",6,LD,Varsity Lincoln Douglas
eaqewzbs,GOLDEN EAGLE CUP ABERDEEN CENTRAL,"2021 — Aberdeen, SD/US",13,LD,Novice LD
zfitfpmf,GOLDEN EAGLE CUP ABERDEEN CENTRAL,"2021 — Aberdeen, SD/US",8,PF,JV Public Forum
vmxsoywz,GOLDEN EAGLE CUP ABERDEEN CENTRAL,"2021 — Aberdeen, SD/US",20,PF,Novice Public Forum
jaimwgim,GOLDEN EAGLE CUP ABERDEEN CENTRAL,"2021 — Aberdeen, SD/US",16,PF,Varsity Public Forum
shifmfbd,RINGNECK NOVICE AFTER SCHOOL TOURNAMENT,"2021 — Online, SD/US",3,LD,Novice Lincoln Douglas
xaoefcev,RINGNECK NOVICE AFTER SCHOOL TOURNAMENT,"2021 — Online, SD/US",36,PF,Novice Public Forum
aldsiqna,SFR NOVICE TOURNAMENT,"2021 — Sioux Falls, SD/US",10,LD,Lincoln-Douglas
gylpdmri,SFR NOVICE TOURNAMENT,"2021 — Sioux Falls, SD/US",35,PF,Public Forum
dpfsmvax,SDHSAA STATE DEBATE AND INDIVIDUAL EVENTS 2021 TOURNAMENT,"2021 — Online, SD/US",6,LD,A-Lincoln Douglas
zmhkjdfx,SDHSAA STATE DEBATE AND INDIVIDUAL EVENTS 2021 TOURNAMENT,"2021 — Online, SD/US",12,LD,AA-Lincoln Douglas
giscodjv,SDHSAA STATE DEBATE AND INDIVIDUAL EVENTS 2021 TOURNAMENT,"2021 — Online, SD/US",13,PF,A-Public Forum
gveskbhg,SDHSAA STATE DEBATE AND INDIVIDUAL EVENTS 2021 TOURNAMENT,"2021 — Online, SD/US",16,PF,AA-Public Forum
lbmslzqw,RUSHMORE DISTRICT TOURNAMENT,2021 — SD/US,15,LD,Lincoln Douglas
xodeqryv,RUSHMORE DISTRICT TOURNAMENT,2021 — SD/US,24,PF,Public Forum
