,tournament,year,participants,event,event_name
lyugavpk,BROOKINGS BELL,2017 — SD/US,13,LD,Varsity LD
efkqvuum,BROOKINGS BELL,2017 — SD/US,14,PF,JV Public Forum
wwcyxhgt,BROOKINGS BELL,2017 — SD/US,17,PF,Novice Public Forum
uijhrnvd,BROOKINGS BELL,2017 — SD/US,18,PF,Varsity Public Forum
inookwkd,CENTRAL FORENSICS CONFERENCE 1 LENNOX,2017 — SD/US,6,LD,Novice Lincoln-Douglas
fwcrhwdi,CENTRAL FORENSICS CONFERENCE 1 LENNOX,2017 — SD/US,9,LD,Varsity Lincoln-Douglas
cftmcapm,CENTRAL FORENSICS CONFERENCE 1 LENNOX,2017 — SD/US,13,PF,Novice Public Forum
tvjdhdbw,CENTRAL FORENSICS CONFERENCE 1 LENNOX,2017 — SD/US,10,PF,Varsity Public Forum
olbkrdfi,WARRIOR NOVICE EXTRAVAGANZA,"2017 — Sioux Falls Washington, SD/US",11,PF,Public Forum
oshyomoc,WARRIOR NOVICE EXTRAVAGANZA,"2017 — Sioux Falls Washington, SD/US",8,PF,Public Forum - B
eidxwnrr,UNOFFICIAL DAK 12 TOURNAMENT,"2017 — Tea, SD/US",5,LD,Lincoln-Douglas
gkjgsape,UNOFFICIAL DAK 12 TOURNAMENT,"2017 — Tea, SD/US",14,PF,Public Forum
pczroymn,LINCOLN COUNTY QUARREL,2017 — SD/US,4,LD,LD
clvtzsxq,LINCOLN COUNTY QUARREL,2017 — SD/US,21,PF,Cumbee Stevens November PF Topic
yjapfgon,LINCOLN COUNTY QUARREL,2017 — SD/US,14,PF,PF
pykhernl,SFR NOVICE AFTER SCHOOL,2017 — SD/US,9,LD,Lincoln Douglas
cxzuyobo,SFR NOVICE AFTER SCHOOL,2017 — SD/US,37,PF,Public Forum
mwqmkxwc,SFR NOVICE AFTER SCHOOL,2017 — SD/US,11,PF,SFR Public Forum
nzuipqtj,OGORMAN NOVICE AFTER SCHOOL,2017 — SD/US,7,LD,Lincoln-Douglas
uazeyold,OGORMAN NOVICE AFTER SCHOOL,2017 — SD/US,42,PF,Public Forum
cbrbhypv,SF ROOSEVELT SWEETSTAKES,"2017 — Sioux Falls, SD/US",15,LD,Novice Lincoln Douglas
xkztuakf,SF ROOSEVELT SWEETSTAKES,"2017 — Sioux Falls, SD/US",16,LD,Varsity Lincoln Douglas
dgoagqae,SF ROOSEVELT SWEETSTAKES,"2017 — Sioux Falls, SD/US",27,PF,Novice Public Forum
nmqrdfdg,SF ROOSEVELT SWEETSTAKES,"2017 — Sioux Falls, SD/US",38,PF,Varsity Public Forum
gptrdiks,SFL NOVICE AFTER SCHOOL,"2017 — Sioux Falls, SD/US",9,LD,Novice Lincoln Douglas Debate
aqlmfxcj,SFL NOVICE AFTER SCHOOL,"2017 — Sioux Falls, SD/US",22,PF,Novice Public Forum
ywejsxee,HARRISBURG RUSHMORE CHALLENGE,2017 — SD/US,11,LD,Novice LD
hivsmobm,HARRISBURG RUSHMORE CHALLENGE,2017 — SD/US,28,LD,Varsity LD
ndjsmmte,HARRISBURG RUSHMORE CHALLENGE,2017 — SD/US,24,PF,Novice PF
lokscors,HARRISBURG RUSHMORE CHALLENGE,2017 — SD/US,40,PF,Varsity PF
ihxwbztm,HURON CFC 3,"2017 — Huron, SD/US",9,LD,Novice Lincoln-Douglas
oebnrzgu,HURON CFC 3,"2017 — Huron, SD/US",9,LD,Varsity Lincoln-Douglas
hegcgoct,HURON CFC 3,"2017 — Huron, SD/US",11,PF,Novice Public Forum
dzzviihz,HURON CFC 3,"2017 — Huron, SD/US",18,PF,Varsity Public Forum
mohhpbnl,SIOUX FALLS LINCOLN SILVER BOWL,2017 — SD/US,11,LD,Novice LD
thquplsw,SIOUX FALLS LINCOLN SILVER BOWL,2017 — SD/US,22,LD,Varsity LD
msrwakaa,SIOUX FALLS LINCOLN SILVER BOWL,2017 — SD/US,12,PF,JV Public Forum
exwzfczk,SIOUX FALLS LINCOLN SILVER BOWL,2017 — SD/US,20,PF,Novice Public Forum
ztjytclq,SIOUX FALLS LINCOLN SILVER BOWL,2017 — SD/US,25,PF,Varsity Public Forum
pguytmtg,LENNOX CFC JANUARY,"2017 — Lennox, SD/US",6,LD,Novice Lincoln-Douglas
nxoumfvu,LENNOX CFC JANUARY,"2017 — Lennox, SD/US",9,LD,Varsity Lincoln-Douglas
ectqvbje,LENNOX CFC JANUARY,"2017 — Lennox, SD/US",14,PF,Novice Public Forum
beobbtnn,LENNOX CFC JANUARY,"2017 — Lennox, SD/US",19,PF,Varsity Public Forum
epmfjtjv,CFC 1 AT ROOSEVELT,2016 — SD/US,9,LD,Novice Lincoln-Douglas
tnlmzdev,CFC 1 AT ROOSEVELT,2016 — SD/US,7,LD,Varsity Lincoln-Douglas
oxjkwfto,CFC 1 AT ROOSEVELT,2016 — SD/US,14,PF,Novice Public Forum
uozurxch,CFC 1 AT ROOSEVELT,2016 — SD/US,14,PF,Varsity Public Forum
mnhkgeac,WARRIOR NOVICE EXTRAVAGANZA,"2016 — Sioux Falls Washington HS, SD/US",5,LD,Lincoln-Douglas
yjynuwos,WARRIOR NOVICE EXTRAVAGANZA,"2016 — Sioux Falls Washington HS, SD/US",21,PF,Public Forum
zoglzpob,GEORGE MCGOVERN INVITATIONAL,"2016 — Mitchell, SD/US",9,LD,Novice Lincoln-Douglas
middlxxe,GEORGE MCGOVERN INVITATIONAL,"2016 — Mitchell, SD/US",15,LD,Varsity Lincoln-Douglas
cqtdvuxx,GEORGE MCGOVERN INVITATIONAL,"2016 — Mitchell, SD/US",10,PF,Junior Varsity Public Forum
mzkdicml,GEORGE MCGOVERN INVITATIONAL,"2016 — Mitchell, SD/US",27,PF,Novice Public Forum
ernkcoqx,GEORGE MCGOVERN INVITATIONAL,"2016 — Mitchell, SD/US",19,PF,Varsity Public Forum
rhxzjeqd,SFR NOVICE AFTER SCHOOL,2016 — SD/US,28,PF,Public Forum
toavjuyv,OGORMAN NOVICE JOUST,2016 — SD/US,7,LD,Lincoln-Douglas
kwtzkmfg,OGORMAN NOVICE JOUST,2016 — SD/US,37,PF,Public Forum
faluugkr,SF ROOSEVELT SWEETSTAKES,2016 — SD/US,18,LD,Novice Lincoln Douglas
rjbzifea,SF ROOSEVELT SWEETSTAKES,2016 — SD/US,22,LD,Varsity Lincoln Douglas
ctcqahhu,SF ROOSEVELT SWEETSTAKES,2016 — SD/US,31,PF,Novice Public Forum
cfvsqilc,SF ROOSEVELT SWEETSTAKES,2016 — SD/US,40,PF,Varsity Public Forum
eudrqvbs,SFL NOVICE AFTER SCHOOL,2016 — SD/US,9,LD,Novice Lincoln Douglas Debate
xdnqakjn,SFL NOVICE AFTER SCHOOL,2016 — SD/US,34,PF,Novice Public Forum
iciufkqn,HARRISBURG RUSHMORE CHALLENGE,2016 — SD/US,4,LD,Novice LD
hoffnzyi,HARRISBURG RUSHMORE CHALLENGE,2016 — SD/US,33,LD,Varsity LD
gobwuyra,HARRISBURG RUSHMORE CHALLENGE,2016 — SD/US,19,PF,Novice PF
ozudhipg,HARRISBURG RUSHMORE CHALLENGE,2016 — SD/US,45,PF,Varsity PF
viodahry,BRANDONCFC,2016 — SD/US,5,LD,Novice Lincoln-Douglas
wcvijgwe,BRANDONCFC,2016 — SD/US,14,LD,Varsity Lincoln-Douglas
iajauoge,BRANDONCFC,2016 — SD/US,12,PF,Novice Public Forum
kxklapvp,BRANDONCFC,2016 — SD/US,21,PF,Varsity Public Forum
vfthjbub,SIOUX FALLS LINCOLN SILVERBOWL,2016 — SD/US,10,LD,JV Lincoln-Douglas
spajewqn,SIOUX FALLS LINCOLN SILVERBOWL,2016 — SD/US,12,LD,Novice LD
tvgedaeb,SIOUX FALLS LINCOLN SILVERBOWL,2016 — SD/US,19,LD,Varsity LD
zbnmfwcd,SIOUX FALLS LINCOLN SILVERBOWL,2016 — SD/US,12,PF,JV Public Forum
lfflvmkk,SIOUX FALLS LINCOLN SILVERBOWL,2016 — SD/US,20,PF,Novice Public Forum
cjenebpg,SIOUX FALLS LINCOLN SILVERBOWL,2016 — SD/US,23,PF,Varsity Public Forum
odxgpypu,HURON CFC2,2016 — SD/US,4,LD,Novice Lincoln-Douglas
nvevvcag,HURON CFC2,2016 — SD/US,10,LD,Varsity Lincoln-Douglas
xodpjuij,HURON CFC2,2016 — SD/US,12,PF,Novice Public Forum
omuxanew,HURON CFC2,2016 — SD/US,16,PF,Varsity Public Forum
diddvmyr,BROOKINGS BELL,2015 — SD/US,10,LD,Novice LD
wryuhhyy,BROOKINGS BELL,2015 — SD/US,19,LD,Varsity LD
rwcvbkmf,BROOKINGS BELL,2015 — SD/US,15,PF,JV Public Forum
jylvsvre,BROOKINGS BELL,2015 — SD/US,21,PF,Novice Public Forum
zczaocfh,BROOKINGS BELL,2015 — SD/US,21,PF,Varsity Public Forum
lkfkdgqi,LENNOX CFC 1,2015 — SD/US,8,LD,Novice Lincoln-Douglas
sgpymrsk,LENNOX CFC 1,2015 — SD/US,10,LD,Varsity Lincoln-Douglas
jlynimml,LENNOX CFC 1,2015 — SD/US,20,PF,Novice Public Forum
zztpqdto,LENNOX CFC 1,2015 — SD/US,17,PF,Varsity Public Forum
pclliofr,SFR NOVICE AFTER SCHOOL,2015 — SD/US,4,LD,Lincoln Douglas
oijjdjxt,SFR NOVICE AFTER SCHOOL,2015 — SD/US,51,PF,Public Forum
rxowpgmg,WASHINGTON NOVICE AFTER SCHOOL,2015 — SD/US,6,LD,Lincoln Douglas
zlckysde,WASHINGTON NOVICE AFTER SCHOOL,2015 — SD/US,26,PF,Public Forum
xltnsykq,SF ROOSEVELT SWEETSTAKES,2015 — SD/US,22,LD,Novice Lincoln Douglas
ktfioqsi,SF ROOSEVELT SWEETSTAKES,2015 — SD/US,34,LD,Varsity Lincoln Douglas
iyqvgwmr,SF ROOSEVELT SWEETSTAKES,2015 — SD/US,30,PF,Novice Public Forum
urtbcaaw,SF ROOSEVELT SWEETSTAKES,2015 — SD/US,30,PF,Varsity Public Forum
afopbyyf,NOVICE AFTER SCHOOL 1,2015 — SD/US,6,LD,Novice Lincoln Douglas Debate
egalfgti,NOVICE AFTER SCHOOL 1,2015 — SD/US,23,PF,Novice Public Forum
irpnsnqv,SIOUX FALLS LINCOLN SILVER BOWL,2015 — SD/US,7,LD,JV LD
bfsuxfnp,SIOUX FALLS LINCOLN SILVER BOWL,2015 — SD/US,21,LD,Novice LD
gsqvfjcd,SIOUX FALLS LINCOLN SILVER BOWL,2015 — SD/US,19,LD,Varsity LD
qfjkuavt,SIOUX FALLS LINCOLN SILVER BOWL,2015 — SD/US,6,PF,JV Public Forum
zodvgpzp,SIOUX FALLS LINCOLN SILVER BOWL,2015 — SD/US,13,PF,Novice Public Forum
claanfwp,SIOUX FALLS LINCOLN SILVER BOWL,2015 — SD/US,28,PF,Varsity Public Forum
