"","event","tournament","gender","pts","division","win","judge_gender","round","year"
"110","PF","sweet",0,27,"N",0,1,"prelim",2018
"111","PF","harrisburg",0,27,"V",0,1,"prelim",2019
"112","PF","sweet",0,25,"N",0,1,"prelim",2018
"113","PF","silver",0,29,"JV",1,1,"prelim",2019
"114","PF","harrisburg",0,27.5,"N",0,1,"prelim",2019
"115","PF","silver",0,26.5,"JV",0,1,"prelim",2019
"116","PF","sweet",1,28,"N",1,1,"prelim",2018
"117","PF","harrisburg",0,26,"N",0,1,"prelim",2019
"118","PF","sweet",1,27,"N",0,1,"prelim",2018
"119","PF","novice",1,28,"N",0,0,"prelim",2016
"120","PF","novice",1,27.5,"N",1,0,"prelim",2016
"121","PF","sweet",1,27,"N",1,0,"prelim",2015
"122","PF","novice",1,27,"N",1,0,"prelim",2016
"123","PF","sweet",1,29,"V",1,0,"prelim",2015
"124","PF","sweet",0,27,"V",0,0,"prelim",2015
"125","PF","novice",0,29,"N",1,0,"prelim",2016
"126","PF","novice",1,30,"N",1,0,"prelim",2016
"127","PF","sweet",NA,27.2,"N",1,0,"prelim",2015
"128","PF","sweet",0,28,"V",0,0,"prelim",2015
"129","PF","silver",0,29.5,"N",1,0,"prelim",2018
"130","PF","harrisburg",1,26,"N",0,0,"prelim",2020
"131","PF","sweet",0,28,"JV",1,0,"prelim",2021
"132","PF","cfc",0,28,"N",1,0,"prelim",2021
"133","PF","cfc",0,28,"V",0,0,"prelim",2019
"134","PF","cfc",0,28,"V",1,0,"prelim",2022
"135","PF","sweet",1,27.3,"N",1,0,"prelim",2015
"136","PF","novice",0,NA,"N",0,0,"prelim",2015
"137","PF","sweet",0,28.9,"N",1,0,"prelim",2015
"138","PF","sweet",0,28,"V",0,0,"prelim",2015
"139","PF","sweet",1,28,"JV",0,0,"prelim",2021
"140","PF","novice",NA,NA,"N",0,0,"prelim",2015
"142","PF","silver",0,27,"JV",0,0,"prelim",2018
"143","PF","silver",1,29,"N",0,0,"prelim",2018
"144","PF","harrisburg",1,30,"N",1,0,"prelim",2020
"145","PF","silver",1,27.5,"JV",0,0,"prelim",2018
"146","PF","harrisburg",1,27,"V",0,0,"prelim",2021
"147","PF","silver",1,27,"N",0,0,"prelim",2018
"148","PF","novice",1,NA,"N",1,0,"prelim",2015
"149","PF","cfc",1,28,"V",1,0,"prelim",2022
"150","PF","yankton",0,29,"N",1,1,"prelim",2021
"151","PF","yankton",NA,25,"N",0,1,"prelim",2021
"153","PF","yankton",0,27,"JV",0,1,"prelim",2021
"155","PF","silver",0,20,"V",0,1,"prelim",2020
"156","PF","novice",1,23,"N",0,1,"prelim",2020
"157","PF","novice",0,27.5,"N",0,1,"prelim",2020
"158","PF","novice",1,26,"N",1,1,"prelim",2021
"159","PF","novice",0,27,"N",1,1,"prelim",2021
"160","PF","novice",NA,26,"N",0,1,"prelim",2020
"163","PF","novice",0,27,"N",1,1,"prelim",2020
"164","PF","silver",0,20,"N",0,0,"prelim",2016
"165","PF","silver",0,24,"N",0,0,"prelim",2016
"166","PF","silver",NA,26,"N",1,0,"prelim",2016
"167","PF","silver",1,30,"N",1,0,"prelim",2016
"168","PF","harrisburg",1,29,"V",1,1,"prelim",2022
"169","PF","harrisburg",0,27,"JV",1,1,"prelim",2022
"170","PF","harrisburg",1,27,"JV",0,1,"prelim",2022
"171","PF","harrisburg",NA,27,"JV",1,1,"prelim",2022
"172","PF","novice",1,30,"N",1,1,"prelim",2018
"173","PF","gec",1,27,"JV",1,1,"prelim",2020
"174","PF","warrior",1,28,"V",1,1,"prelim",2020
"175","PF","harrisburg",0,26,"N",0,1,"prelim",2021
"176","PF","yankton",1,27,"N",0,1,"prelim",2021
"177","PF","harrisburg",1,27,"V",0,1,"prelim",2021
"178","PF","gec",0,29,"V",1,1,"prelim",2020
"179","PF","warrior",1,28,"V",1,1,"prelim",2020
"180","PF","cfc",0,28,"V",0,1,"prelim",2020
"181","PF","yankton",1,28,"N",1,1,"prelim",2021
"182","PF","RAPID CITY STEVENS PENGUIN CLASSIC",0,NA,"N",1,1,"prelim",2021
"183","PF","cfc",0,27,"N",0,1,"prelim",2020
"184","PF","cfc",1,27,"V",0,1,"prelim",2020
"185","PF","warrior",0,28,"JV",1,1,"prelim",2020
"195","PF","silver",0,29,"N",0,1,"prelim",2015
"198","PF","silver",0,28,"JV",0,1,"prelim",2015
"201","PF","silver",0,29,"JV",1,1,"prelim",2015
"217","PF","cfc",1,29,"N",0,1,"prelim",2016
"218","PF","cfc",1,27,"N",1,1,"prelim",2016
